Number,First Name,Last Name,Email Address,Department,Division,Completed On,Respondent IP,Employee Commitment and Satisfaction:ECS_Q1,Employee Commitment and Satisfaction:ECS_Q2,Employee Commitment and Satisfaction:ECS_Q3,Employee Commitment and Satisfaction:ECS_Q4,Employee Commitment and Satisfaction:ECS_Q5,Employee Commitment and Satisfaction:ECS_Q6,Workplace Environment and Culture:WEC_Q1,Workplace Environment and Culture:WEC_Q2,Workplace Environment and Culture:WEC_Q3,Workplace Environment and Culture:WEC_Q4,Workplace Environment and Culture:WEC_Q5,Compensation & Benefits:CB_Q1,Compensation & Benefits:CB_Q2,Compensation & Benefits:CB_Q3,Compensation & Benefits:CB_Q4,Performance Management:PM_Q1,Performance Management:PM_Q2,Performance Management:PM_Q3,Performance Management:PM_Q4,Performance Management:PM_Q5,Performance Management:PM_Q6,Performance Management:PM_Q7,Career Development and Training:CDT_Q1,Career Development and Training:CDT_Q2,Career Development and Training:CDT_Q3,Career Development and Training:CDT_Q4,Career Development and Training:CDT_Q5,Career Development and Training:CDT_Q6,Communications:COMM_Q1,Communications:COMM_Q2,Communications:COMM_Q3,Communications:COMM_Q4,Team Effectiveness:TE_Q1,Team Effectiveness:TE_Q2,Team Effectiveness:TE_Q3,Team Effectiveness:TE_Q4,Team Effectiveness:TE_Q5,Job Stress:JS_Q1,Job Stress:JS_Q2,Job Stress:JS_Q3,Company Image:CI_Q1,Company Image:CI_Q2,Company Image:CI_Q3,Company Image:CI_Q4,Strategy:STRAT_Q1,Strategy:STRAT_Q2,Strategy:STRAT_Q3,"On a scale of zero to ten, how likely is it that you would recommend Company to friends as a great place to work?",What 2-3 things do you value most about working at Company?,What 2-3 things should Company begin to do?,What 2-3 things should Company stop doing?,Please provide suggestions for ongoing improvement to the performance feedback process.
10000024,FNAME25,LNAME25,,Production,Operations,2/13/2017 11:46,100.000.000.024,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,5,Flexible schedule and laid back environment,More pay increase and hold everybody accountable for their actions,Letting everyone get away with anything they may do,Involve us more in our raises
10000025,FNAME26,LNAME26,,Finance,Corporate,2/13/2017 11:54,100.000.000.025,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,7,,,,
10000026,FNAME27,LNAME27,,Field Operations,Southeast Region,2/13/2017 12:46,100.000.000.026,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,8,"1. Company Growth. 
2. Co-worker relationships.
3. Opportunities.","1. More Projects for charity.
2.",1 Stop wasting so much paper.,Can't think of anything I would change.
10000027,FNAME28,LNAME28,,Production,Operations,2/13/2017 12:18,100.000.000.027,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,9,Benefits are descent...Family orientated,Listen to employees and keep the promises...,saying things and not keeping up with them...,
10000028,FNAME29,LNAME29,,IT,Corporate,2/13/2017 12:39,100.000.000.028,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,9,"I enjoy working with my team mates to try and the best possible results.  My Supervisor almost always ends a call with 'appreciate what you are doing', that says a lot in today's work culture.",,,
10000029,FNAME30,LNAME30,,Center of Excellence,Shared Services,2/13/2017 12:09,100.000.000.029,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,"The executive team.  The are great to bounce ideas off of and they are very hands on.
The environment.  The team that I work closest with has a great rapport and I enjoy coming to work.","They should have a 401k Match Program.
They should give out incentives to better team members.",,I think the company should institute a 1:1 that is documented and outlined to better suit the employee.  In my department we do weekly 1:1's with the team so that they know where they stand and where improvement is needed.  We also are good at recognizing the successes of the department.
10000030,FNAME31,LNAME31,,Production,Operations,2/13/2017 12:15,100.000.000.030,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,"1. The open door policy that let me know I can go and talk to someone if I need to
2. The respect that I receive from the managers
3. The GREAT team that I work with in Production","1. Show more appreciation for the employees
2. Be more open on changes that are happening with the company
3.",1. NOT SHARING CHANGES IN A TIMELY FASHION,
10000031,FNAME32,LNAME32,,Production,Operations,2/13/2017 12:15,100.000.000.031,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,4,"- positive changes
- effective communication as a whole","- offer comparable rates to location and job experience
- offer job opportunities in San Diego","- Setting up dates for meetings where it eventually gets postponed
- Giving vague details to further oneself. Was told more job opportunites and higher payrates would be available 2 years ago. None of that has changed",
10000032,FNAME33,LNAME33,,Production,Operations,2/13/2017 12:25,100.000.000.032,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,4,"Having a consistence job.

Environment.","Increase pay.

Contribute (match) 401k.","Petty differences between local and regional office.

Reduce feelings of mistrust.",Follow through.
10000033,FNAME34,LNAME34,,Center of Excellence,Shared Services,2/13/2017 17:05,100.000.000.033,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,,immersive training when new proceedures and/or systems roll out,,
10000034,FNAME35,LNAME35,,Field Operations,Southwest Region,2/13/2017 17:27,100.000.000.034,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,10,"Help Others, Team Work","Staff appreciation, Partnership",,
10000035,FNAME36,LNAME36,,IT,Corporate,2/13/2017 13:10,100.000.000.035,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,"1. The flexible schedule.

2. Good pay & benefits","1. 401k matching

2. Parking allowance",,
10000036,FNAME37,LNAME37,,Production,Operations,2/13/2017 19:49,100.000.000.036,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,7,"I value the freedom I have to manage my department with little micro-managing and I can try new procedures and policies to make it more efficient. 

I value most of the employees I work with and know who I can reach out to for assistance or support.",I would like to see Company standardize the pay rates for employees. New employees are being hired at a higher salary than employees who have been here for 8+ years. This leads to employees with years of experience and personal connections with clients to leave Company and those who stay have low morale.,,
10000037,FNAME38,LNAME38,,Inside Sales,Marketing/Sales,2/13/2017 12:52,100.000.000.037,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,7,"The chance to be succesfully is under my control as a salesperson
The flexibility my manager allows me to work remotely","Match my 401k contribution.
Hire more court reporters in areas that they are needed.",I cannot think of anything.,
10000038,FNAME39,LNAME39,,Field Sales,Northwest Region,2/13/2017 13:17,100.000.000.038,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,8,"Opportunity for growth
Upbeat Positive Atmosphere","Continue to spend money on Marketing 
Continue to be the positive company for tomorrow and not yesterday",Concentrating on a handful of firms,Feedback on performance should heavily concentrate on employee true job description
10000039,FNAME40,LNAME40,,Field Operations,Southeast Region,2/13/2017 13:38,100.000.000.039,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,"1. Autonomy to make decisions on the fly rather than having to go through layers of red tape.
2. Ability to make changes to my team dynamics and overall operations of my area in order to make us more efficient and eliminate opportunity for error.","i think the company is moving in the right direction and taking all the steps necessary to keep the clients and the team members informed and involved.  The system isn't perfect yet, but there are definite strides taking place to move us in the right direction.

As an OM, I would love to receive more information with regard to the finances of my offices.  I would love to know what the expenditures are and have a better understanding of what expenses I can control in order to make my offices more profitable.",n/a,
10000040,FNAME41,LNAME41,,Field Operations,Southeast Region,2/13/2017 13:46,100.000.000.040,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,"I value the opportunity Company has Given me to work, I value Everything  about Company.",,,
10000041,FNAME42,LNAME42,,Production,Operations,2/13/2017 13:19,100.000.000.041,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,,,,
10000042,FNAME43,LNAME43,,Field Operations,Southwest Region,2/13/2017 14:12,100.000.000.042,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,7,"I ENJOYED WORKING WITH MY OM, SHE MAKES IT EASY TO ASKED QUESTIONS OR OPINIONS.",better understanding on our benefits and 401k program.,,
10000043,FNAME44,LNAME44,,ECS,Marketing/Sales,2/13/2017 13:48,100.000.000.043,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,8,"Overall customer satisfaction, and the ability to make my own schedule.",,,
